OBJECTID,DCH_FEA_KEY,DCH_GRPH_KEY,DCH_FEATYPE_TEXT,DCH_OWNER_NAME,DCH_PRBL_FLOW_TYPE,DCH_MATERIAL_TYPE,DCH_PIPE_SHP_TEXT,DCH_LIFECYCLE_STAT,DCH_DSTNTN_TYPE,DCH_INSPECT_FLAG,DCH_CASING_FLAG,DCH_PERF_PIPE_FLAG,DCH_LENGTH_FT_NBR,DCH_WIDTH_IN_NBR,DCH_HEIGHT_IN_NBR,DCH_UPS_ELEV_FT_NBR,DCH_DNS_ELEV_FT_NBR,DCH_INSTALL_DATE,DCH_LST_UPDT_DATE,DCH_STREAM_NAME,DCH_GSIP_NAME,SHAPE_Length
73746,8119917,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.83,4,4,,,2017/12/27 11:36:53+00,2020/01/09 00:00:00+00,,,5.82862519562752
73747,8119920,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,6.03,4,4,,,2017/12/27 11:36:53+00,2020/01/09 00:00:00+00,,,6.03323397550867
73748,8119923,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.72,4,4,,,2017/12/27 11:36:53+00,2020/01/09 00:00:00+00,,,5.71765550236382
73750,8119964,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,8.8,4,4,,,2018/11/29 12:05:09+00,2020/01/09 00:00:00+00,,,8.80116703101472
73751,8120039,0,Rain Garden,Private,Drainage,Vegetation,Rectangular,Connected,,Y,N,N,8.65,,,,,2018/07/22 12:35:31+00,2020/01/09 00:00:00+00,,,8.65032543274581
73752,8120040,0,Rain Garden,Private,Drainage,Vegetation,Rectangular,Connected,,Y,N,N,8.39,,,,,2018/07/22 12:35:31+00,2020/01/09 00:00:00+00,,,8.39169026142784
73758,8120119,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,10.36,4,4,,,2018/05/12 08:34:24+00,2020/01/09 00:00:00+00,,,10.361203407449
73759,8120122,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,6.26,4,4,,,2018/05/12 08:34:24+00,2020/01/09 00:00:00+00,,,6.25993116863411
73763,8120319,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,14,4,4,,,2018/11/20 08:47:43+00,2020/01/10 00:00:00+00,,,14.0045096654854
73765,8120375,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,18.95,,,,,2018/10/25 10:42:33+00,2020/01/10 00:00:00+00,,,18.9520639540029
73768,8120382,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.3,4,4,,,2018/10/25 10:42:33+00,2020/01/10 00:00:00+00,,,2.30156550522263
73771,8120448,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,N,N,N,7.21,4,4,,,2018/11/13 13:23:40+00,2020/01/10 00:00:00+00,,,7.2136134868808
73776,8120750,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,46.91,4,4,,,2018/05/22 08:34:24+00,2020/01/13 00:00:00+00,,,46.9118974615133
73777,8120752,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,31.31,4,4,,,2018/05/22 08:34:24+00,2020/01/13 00:00:00+00,,,31.3141442413796
73778,8120754,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,38.04,4,4,,,2018/05/22 08:34:24+00,2020/01/13 00:00:00+00,,,38.0440150749664
73779,8120759,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,7.81,4,4,,,2018/05/22 08:34:24+00,2020/01/13 00:00:00+00,,,7.81190432851368
73780,8120789,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.77,4,4,,,2018/06/20 08:34:24+00,2020/01/13 00:00:00+00,,,9.76875882458818
73782,8120807,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,6.32,,,,,2018/06/20 08:34:24+00,2020/01/13 00:00:00+00,,,6.31671735128232
73785,8120873,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,23.75,4,4,,,2018/11/13 10:11:34+00,2020/01/13 00:00:00+00,,,23.7483220935209
73787,8120896,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,8.57,4,4,,,2018/11/13 10:11:34+00,2020/01/13 00:00:00+00,,,8.57295197386354
73789,8120907,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.83,4,4,,,2018/06/29 08:34:24+00,2020/01/13 00:00:00+00,,,8.8265003831847
73794,8121102,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,21.44,4,4,,,2018/05/15 13:47:02+00,2020/01/13 00:00:00+00,,,21.4428629789921
73795,8121104,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,47.4,4,4,,,2018/05/15 13:47:02+00,2020/01/13 00:00:00+00,,,47.3970708099359
73797,8121376,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.6,4,4,,,2017/11/15 09:06:35+00,2020/01/14 00:00:00+00,,,8.60346047480811
73803,8121602,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Unknown,Connected,,Y,N,Y,9.23,4,4,,,2018/11/07 11:00:47+00,2020/01/14 00:00:00+00,,,9.22496440069845
73806,8121627,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,43.11,6,6,,,2018/03/29 08:34:24+00,2020/01/14 00:00:00+00,,,43.1142824214608
73807,8121629,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,66.36,6,6,,,2018/03/29 08:34:24+00,2020/01/14 00:00:00+00,,,66.3639494567117
73811,8121765,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,19.92,4,4,,,2017/11/28 15:43:17+00,2020/01/14 00:00:00+00,,,19.9235742048479
