OBJECTID,DCH_FEA_KEY,DCH_GRPH_KEY,DCH_FEATYPE_TEXT,DCH_OWNER_NAME,DCH_PRBL_FLOW_TYPE,DCH_MATERIAL_TYPE,DCH_PIPE_SHP_TEXT,DCH_LIFECYCLE_STAT,DCH_DSTNTN_TYPE,DCH_INSPECT_FLAG,DCH_CASING_FLAG,DCH_PERF_PIPE_FLAG,DCH_LENGTH_FT_NBR,DCH_WIDTH_IN_NBR,DCH_HEIGHT_IN_NBR,DCH_UPS_ELEV_FT_NBR,DCH_DNS_ELEV_FT_NBR,DCH_INSTALL_DATE,DCH_LST_UPDT_DATE,DCH_STREAM_NAME,DCH_GSIP_NAME,SHAPE_Length
43126,4900872,,Under Drain,Seattle Public Utilities,Sanitary,Ductile Iron Pipe,Circular,Connected,,Y,N,Y,59.34,8,8,,,2003/10/08 13:24:57+00,2013/02/01 00:00:00+00,,,59.3412744546279
43128,4900968,,Under Drain,Seattle Public Utilities,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,Y,31.3,6,6,,,2003/10/08 13:57:42+00,2013/02/01 00:00:00+00,,,31.2952437363673
43211,4937204,4350472,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,22.04,8,8,,,,2013/02/01 00:00:00+00,,,22.0358433040273
43359,4946535,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,N,99.71,,,,,2009/10/15 13:51:14+00,2013/02/01 00:00:00+00,,,99.7148255104631
43593,4959469,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,96.47,6,6,,,2010/07/29 09:45:24+00,2013/02/01 00:00:00+00,,,96.4664322308999
43594,4959476,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,96.76,6,6,,,2010/07/29 09:54:27+00,2013/02/01 00:00:00+00,,,96.7559382370513
43595,4959482,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,74.06,6,6,,,2010/07/29 09:55:55+00,2013/02/01 00:00:00+00,,,74.057582632488
43719,4975773,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,26.1,,,,,2005/08/18 16:04:10+00,2013/02/01 00:00:00+00,,,26.0999402787214
43720,4975829,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,71.92,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,71.9219667641647
43721,4975832,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,59.61,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,59.6071144283581
43722,4975836,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,36.42,,,,,2005/08/18 16:13:53+00,2013/02/01 00:00:00+00,,,36.4196222453169
43724,4975912,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.97,,,,,2005/08/18 16:36:07+00,2013/02/01 00:00:00+00,,,9.96787649083979
43725,4975916,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.19,,,,,2005/08/18 16:36:07+00,2013/02/01 00:00:00+00,,,9.19163173264813
43726,4976007,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,Y,15.56,,,,,2005/08/18 17:11:58+00,2013/02/01 00:00:00+00,,,15.5624480970556
43727,4976010,,Under Drain,Private,Drainage,Unknown,Circular,Connected,,Y,N,Y,5.62,,,,,2005/08/18 17:11:58+00,2013/02/01 00:00:00+00,,,5.61668910953573
43733,4976505,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,20.66,,,,,2005/08/19 10:02:28+00,2013/02/01 00:00:00+00,,,20.6632335390577
43745,4976997,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.14,,,,,2005/08/19 14:50:53+00,2013/02/01 00:00:00+00,,,5.13538410053164
45188,5029056,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,41.02,,0,,,2011/10/26 10:12:35+00,2015/07/15 00:00:00+00,,,41.0167370345348
45189,5029083,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,77.09,,0,,,2008/10/26 10:16:34+00,2015/07/15 00:00:00+00,,,77.0876714313355
45408,5074014,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,21.59,,,,,2010/10/28 06:50:23+00,2015/07/15 00:00:00+00,,,21.5857926436871
45410,5074042,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,16.22,,,,,2008/10/28 07:27:31+00,2015/07/15 00:00:00+00,,,16.2203760384678
45411,5074048,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,Rectangular,Connected,,Y,N,N,20.94,,,,,2008/10/28 07:28:51+00,2015/07/15 00:00:00+00,,,20.9352578699123
45412,5074054,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,Rectangular,Connected,,Y,N,N,20.88,,,,,2010/10/28 07:29:41+00,2015/07/15 00:00:00+00,,,20.8825637567948
45413,5074060,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,Rectangular,Connected,,Y,N,N,21.4,,,,,2008/10/28 07:30:31+00,2015/07/15 00:00:00+00,,,21.402359166707
46087,5174716,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,198.47,8,8,,,2004/11/15 15:58:45+00,2013/02/01 00:00:00+00,,,198.47271655048
46098,5175459,,Under Drain,Department of Finance and Administrative,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,129.06,4,4,,,2010/11/16 11:44:28+00,2021/04/26 00:00:00+00,,,129.062364616369
46111,5175843,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,377.41,8,8,,,2004/11/16 16:20:21+00,2013/02/01 00:00:00+00,,,377.410435752556
46116,5176303,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,240.14,8,8,,,2004/11/17 09:28:10+00,2013/02/01 00:00:00+00,,,240.138014125145
46117,5176338,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,294.92,8,8,,,2011/11/17 09:44:50+00,2013/02/01 00:00:00+00,,,294.915736190578
46155,5178313,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,256.63,8,8,,,2004/11/18 10:00:03+00,2013/02/01 00:00:00+00,,,256.629820803561
46161,5178867,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,242.54,8,8,,,2004/11/18 12:54:54+00,2013/02/01 00:00:00+00,,,242.544949406342
46176,5179325,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,271.91,8,8,,,2004/11/18 14:29:47+00,2013/02/01 00:00:00+00,,,271.908379329164
46215,5181156,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,215.4,8,8,,,2004/11/21 11:53:50+00,2013/02/01 00:00:00+00,,,215.396774908142
46216,5181179,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,326.5,8,8,,,2004/11/21 12:03:53+00,2013/02/01 00:00:00+00,,,326.501634603846
46223,5181288,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,255.41,8,8,,,2004/11/21 12:36:33+00,2013/02/01 00:00:00+00,,,255.413586996872
46238,5181827,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,183.33,8,8,,,2004/11/21 14:51:47+00,2013/02/01 00:00:00+00,,,183.326415733831
46239,5181828,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,226.62,8,8,,,2004/11/21 14:51:47+00,2013/02/01 00:00:00+00,,,226.621018252699
46240,5181829,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,175.48,8,8,,,2004/11/21 14:51:47+00,2013/02/01 00:00:00+00,,,175.483270879085
46266,5182500,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,236.9,8,8,,,2004/11/22 07:57:04+00,2013/02/01 00:00:00+00,,,236.902878623912
46268,5182522,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,259.45,8,8,,,2004/11/22 08:02:05+00,2013/02/01 00:00:00+00,,,259.44970865037
46271,5182575,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,205.51,8,8,,,2004/11/22 08:18:19+00,2013/02/01 00:00:00+00,,,205.506538795212
46291,5183208,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,394.61,8,8,,,2004/11/22 10:22:51+00,2013/02/01 00:00:00+00,,,394.614662367204
46303,5183795,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,183.95,8,8,,,2004/11/22 11:57:03+00,2013/02/01 00:00:00+00,,,183.950168200406
46307,5183936,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,136.54,8,8,,,2004/11/22 12:25:32+00,2013/02/01 00:00:00+00,,,136.544603683052
46308,5183937,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,136.86,8,8,,,2004/11/22 12:25:32+00,2013/02/01 00:00:00+00,,,136.856365144938
46318,5184140,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,169.13,8,8,,,2004/11/22 12:56:21+00,2013/02/01 00:00:00+00,,,169.130711557083
46319,5184423,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,192.39,8,8,,,2004/11/22 14:06:19+00,2013/02/01 00:00:00+00,,,192.394068048106
46320,5184432,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,174.16,8,8,,,2004/11/22 14:06:19+00,2013/02/01 00:00:00+00,,,174.159662024683
46321,5184487,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,79.15,8,8,,,2004/11/22 14:53:51+00,2013/02/01 00:00:00+00,,,79.1545048760688
46334,5184773,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,79.51,8,8,,,2004/11/22 15:47:00+00,2013/02/01 00:00:00+00,,,79.5050949802327
46335,5184774,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,314.7,8,8,,,2004/11/22 15:47:00+00,2013/02/01 00:00:00+00,,,314.695724146351
46336,5184777,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,179.16,8,8,,,2004/11/22 15:47:00+00,2013/02/01 00:00:00+00,,,179.158161443427
46356,5186532,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,316.81,8,8,,,2004/11/23 08:52:20+00,2013/02/01 00:00:00+00,,,316.813991050968
46368,5186751,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,110.35,8,8,,,2004/11/23 09:23:17+00,2013/02/01 00:00:00+00,,,110.345958605139
46371,5186997,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,87.27,8,8,,,2004/11/23 09:40:28+00,2013/02/01 00:00:00+00,,,87.2740491506838
46374,5187169,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,338.08,8,8,,,2004/11/23 10:19:24+00,2013/02/01 00:00:00+00,,,338.081220256127
46388,5190832,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,345.62,8,8,,,2004/11/30 09:58:09+00,2013/02/01 00:00:00+00,,,345.621359766343
46459,5200331,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.19,6,6,,,2004/12/05 08:19:58+00,2013/02/01 00:00:00+00,,,5.18629856191359
46460,5200333,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.78,6,6,,,2004/12/05 08:19:58+00,2013/02/01 00:00:00+00,,,10.7751789602657
46461,5200342,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.07,6,6,,,2004/12/05 08:21:49+00,2013/02/01 00:00:00+00,,,5.0702183593083
46462,5200344,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,11,6,6,,,2004/12/05 08:21:49+00,2013/02/01 00:00:00+00,,,10.9959478754163
46463,5200353,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,4.89,6,6,,,2004/12/05 08:23:48+00,2013/02/01 00:00:00+00,,,4.89178870660837
46464,5200355,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,11.07,6,6,,,2004/12/05 08:23:48+00,2013/02/01 00:00:00+00,,,11.0654712294939
46465,5200365,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.01,6,6,,,2004/12/05 08:26:43+00,2013/02/01 00:00:00+00,,,5.00957778947862
46466,5200367,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,11.06,6,6,,,2004/12/05 08:26:43+00,2013/02/01 00:00:00+00,,,11.0600831997284
46467,5200378,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.01,6,6,,,2004/12/05 08:27:58+00,2013/02/01 00:00:00+00,,,5.00957778982909
46468,5200380,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.85,6,6,,,2004/12/05 08:27:58+00,2013/02/01 00:00:00+00,,,10.8549662618531
46469,5200397,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.07,6,6,,,2004/12/05 08:29:55+00,2013/02/01 00:00:00+00,,,5.07015439824901
46470,5200399,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.91,6,6,,,2004/12/05 08:29:55+00,2013/02/01 00:00:00+00,,,10.9097273637237
46471,5200431,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,4.95,6,6,,,2004/12/05 08:34:46+00,2013/02/01 00:00:00+00,,,4.94961613078104
46472,5200433,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,11,6,6,,,2004/12/05 08:34:46+00,2013/02/01 00:00:00+00,,,10.9969443413951
46473,5200447,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.08,6,6,,,2004/12/05 08:35:56+00,2013/02/01 00:00:00+00,,,5.07981386767719
46474,5200448,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.93,6,6,,,2004/12/05 08:35:56+00,2013/02/01 00:00:00+00,,,10.9290088851436
46475,5200461,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.03,6,6,,,2004/12/05 08:39:03+00,2013/02/01 00:00:00+00,,,5.03487499667075
46476,5200463,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.97,6,6,,,2004/12/05 08:39:03+00,2013/02/01 00:00:00+00,,,10.9657695556206
46477,5200472,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.17,6,6,,,2004/12/05 08:40:13+00,2013/02/01 00:00:00+00,,,5.16565813987147
46478,5200474,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.67,6,6,,,2004/12/05 08:40:13+00,2013/02/01 00:00:00+00,,,10.6715536792612
46479,5200488,,Under Drain,Unknown,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.18,6,6,,,2004/12/05 08:42:09+00,2013/02/01 00:00:00+00,,,5.17942845343269
46480,5200490,,Under Drain,Unknown,Drainage,Ductile Iron Pipe,Circular,Connected,,Y,N,N,10.73,6,6,,,2004/12/05 08:42:09+00,2013/02/01 00:00:00+00,,,10.7300193475231
46487,5201258,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,32.25,8,8,,,2008/12/05 13:03:48+00,2013/02/01 00:00:00+00,,,32.2548694735519
46554,5238208,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.6,8,8,,,2008/12/15 08:43:56+00,2013/02/01 00:00:00+00,,,14.6016248217287
46555,5238214,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.66,8,8,,,2008/12/15 08:44:31+00,2013/02/01 00:00:00+00,,,14.6629109402925
46556,5238220,,Rain Garden,Seattle Public Utilities,Drainage,Vegetation,U Shaped,Connected,,Y,N,N,29.75,,,,,2008/12/15 08:57:33+00,2015/07/15 00:00:00+00,,,29.7538028240757
46564,5240578,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,17.36,8,8,,,2008/12/19 08:35:48+00,2013/02/01 00:00:00+00,,,17.3607689966598
46565,5240611,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,20.88,8,8,,,2008/12/19 08:41:30+00,2013/02/01 00:00:00+00,,,20.8780249852451
46568,5240876,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,11.37,8,8,,,2008/12/19 10:11:10+00,2013/02/01 00:00:00+00,,,11.3690066813445
46569,5240884,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,22.65,8,8,,,2008/12/19 10:15:12+00,2013/02/01 00:00:00+00,,,22.6487060877801
46570,5240919,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,13.06,4,4,,,2008/12/19 10:24:11+00,2015/07/15 00:00:00+00,,,13.0613369432252
46571,5240931,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,11.24,2,2,,,2008/12/19 10:26:34+00,2013/02/01 00:00:00+00,,,11.241727116254
46573,5240956,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,24.49,2,2,,,2008/12/19 10:45:11+00,2013/02/01 00:00:00+00,,,24.4939667562876
46635,5243092,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,22.67,8,8,,,2008/12/20 07:58:20+00,2013/02/01 00:00:00+00,,,22.6724217152526
46636,5243108,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,25.16,2,2,,,2008/12/20 08:01:11+00,2013/02/01 00:00:00+00,,,25.1603230684488
46637,5243117,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,88.12,4,4,,,2008/12/20 08:03:07+00,2015/07/15 00:00:00+00,,,88.1188478562685
46638,5243125,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,20.6,8,8,,,2008/12/20 08:03:07+00,2013/02/01 00:00:00+00,,,20.597293359991
46641,5243187,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,6.15,2,2,,,2008/12/20 08:25:03+00,2013/02/01 00:00:00+00,,,6.14567663365004
46642,5243211,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,66.63,8,8,,,2008/12/20 08:30:45+00,2013/02/01 00:00:00+00,,,66.6260925831811
46643,5243218,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,11.83,8,8,,,2008/12/20 08:30:45+00,2013/02/01 00:00:00+00,,,11.8290247865914
46644,5243223,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,19.64,8,8,,,2008/12/20 08:30:45+00,2013/02/01 00:00:00+00,,,19.6356341732081
46648,5243260,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,64.95,4,4,,,2008/12/20 08:46:19+00,2013/02/01 00:00:00+00,,,64.9492361643067
46649,5243273,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,16.69,4,4,,,2008/12/20 08:49:46+00,2013/02/01 00:00:00+00,,,16.6890850595193
46650,5243290,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,49.54,4,4,,,2008/12/20 08:53:51+00,2013/02/01 00:00:00+00,,,49.5407983043793
46651,5243308,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,4.21,4,4,,,2008/12/20 08:53:51+00,2013/02/01 00:00:00+00,,,4.20949075094151
46655,5243337,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,14.29,4,4,,,2008/12/20 08:59:29+00,2015/07/15 00:00:00+00,,,14.2917613960674
46657,5243346,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,26.02,2,2,,,2008/12/20 09:00:48+00,2015/07/15 00:00:00+00,,,26.0228764111133
46659,5243363,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,16.72,2,2,,,2008/12/20 09:04:13+00,2013/02/01 00:00:00+00,,,16.7239836379616
46664,5243577,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.22,4,4,,,2008/12/20 10:03:54+00,2013/02/01 00:00:00+00,,,2.22097839634422
46673,5243832,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,2.13,2,2,,,2008/12/20 10:58:01+00,2015/07/15 00:00:00+00,,,2.12731742973139
46819,5253991,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,22.12,12,12,,,2008/01/03 10:52:23+00,2013/02/01 00:00:00+00,,,22.1214803019046
47005,5284373,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,134.06,6,6,,,2015/10/20 16:05:37+00,2018/01/30 00:00:00+00,,,134.058350829781
47065,5290933,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,121.89,6,6,,,2015/10/20 14:07:20+00,2018/01/30 00:00:00+00,,,121.88843494435
47066,5290935,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,124.48,6,6,,,2015/10/20 14:07:20+00,2018/01/30 00:00:00+00,,,124.476944371039
47067,5290978,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.01,6,6,,,2015/10/20 14:15:20+00,2018/01/30 00:00:00+00,,,5.01258405055312
47068,5290980,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.03,6,6,,,2015/10/20 14:15:20+00,2018/01/30 00:00:00+00,,,5.02555717825524
47069,5291007,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,7.97,6,6,,,2015/10/20 14:19:26+00,2018/01/30 00:00:00+00,,,7.96571365155905
47070,5291009,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,7.95,6,6,,,2015/10/20 14:19:26+00,2018/01/30 00:00:00+00,,,7.95377350430071
47071,5291118,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,106.45,6,6,,,2015/10/20 16:05:37+00,2018/01/30 00:00:00+00,,,106.446745552021
47914,5567463,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.43,6,6,,,2015/05/01 17:29:56+00,2015/10/06 00:00:00+00,,,14.4336049550733
47920,5567760,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,13.71,6,6,,,2015/05/01 16:19:25+00,2015/10/06 00:00:00+00,,,13.7101006652219
47921,5567768,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.48,6,6,,,2015/05/01 17:29:56+00,2015/10/06 00:00:00+00,,,14.4759376814846
47922,5567770,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,13.76,6,6,,,2015/05/01 17:38:36+00,2015/10/06 00:00:00+00,,,13.7574232779595
47923,5567776,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,13.87,6,6,,,2015/04/19 16:26:31+00,2015/10/06 00:00:00+00,,,13.8695792546723
47980,5568784,,Under Drain,Seattle Public Utilities,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,13.03,8,8,,,2015/05/01 16:24:01+00,2015/10/06 00:00:00+00,,,13.0347413653523
51629,5605001,,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,41.08,,,,,2004/07/20 11:04:47+00,2013/02/01 00:00:00+00,,,41.0777430318284
52926,7143026,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,72.04,6,6,,,2017/01/24 13:50:43+00,2017/10/27 00:00:00+00,,,72.0395544052988
52927,7143029,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,44.4,6,6,,,2017/01/24 13:50:53+00,2017/10/27 00:00:00+00,,,44.4009579382762
52928,7143031,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,25.22,6,6,,,2017/01/24 13:51:11+00,2017/10/27 00:00:00+00,,,25.2221985099947
52929,7143033,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Provisional Connect,,Y,N,Y,25.1,6,6,,,2012/12/07 13:51:25+00,2017/10/27 00:00:00+00,,,25.1001338945602
52930,7143035,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,27.84,6,6,,,2017/01/24 13:51:55+00,2017/10/27 00:00:00+00,,,27.8363561524589
52931,7143038,,Under Drain,King County,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,25.56,6,6,,,2017/01/24 13:52:05+00,2017/10/27 00:00:00+00,,,25.5613986692152
